id,season,start,end
43140,Spring migration,91,181
43140,Fall migration,244,304
43141,Spring migration,91,181
43141,Fall migration,244,304
43142,Spring migration,91,181
43142,Fall migration,244,304
43143,Spring migration,91,181
43143,Fall migration,244,304
43144,Spring migration,91,181
43144,Fall migration,244,304
43145,Spring migration,91,181
43145,Fall migration,244,304
43146,Spring migration,91,181
43146,Fall migration,244,304
