season,start,end
Annual,Feb-01,Jan-31
Early winter,Oct-21,Jan-31
Late winter,Feb-01,Apr-15
Summer,Jun-16,Sep-14
Fall rut,Sep-15,Oct-20
Spring migration,Apr-01,Jun-30
Fall migration,Sep-01,Oct-31
