id,season,start,end
43140,Spring migration,112,149
43140,Fall migration,300,347
43141,Spring migration,112,149
43141,Fall migration,300,347
43142,Spring migration,112,149
43142,Fall migration,278,310
43143,Spring migration,112,149
43143,Fall migration,317,347
43144,Spring migration,112,149
43144,Fall migration,317,347
43145,Spring migration,112,149
43145,Fall migration,317,347
43146,Spring migration,112,149
43146,Fall migration,278,310
