id,time,long,lat,elev
car178,2014-12-21T10:01:32Z,-120.55268937195154,55.01299296926057,1068
car178,2014-12-22T09:01:24Z,-120.56240208473572,54.99935365284457,1120
car178,2014-12-23T08:00:29Z,-120.58398179718289,55.001168646599496,1134
car178,2014-12-25T06:00:29Z,-120.63694039720318,55.015638858598,1099
car178,2014-12-26T05:01:00Z,-120.5735500240742,54.98953569303016,1134
car178,2014-12-27T04:02:12Z,-120.56615250956494,54.98467749344208,1191
car178,2014-12-28T03:00:47Z,-120.55648361219284,54.996906660687,1120
car178,2014-12-29T02:01:02Z,-120.55247278752992,54.997293436099035,1110
car178,2015-01-01T22:00:29Z,-120.62300404674058,55.06607433448573,1057
car178,2015-01-02T21:00:54Z,-120.64068046514234,55.07976683964128,1051
car178,2015-01-03T20:01:21Z,-120.631646070687,55.106693032059376,1025
car178,2015-01-04T19:00:54Z,-120.65713557001452,55.096588229836655,1010
car178,2015-01-05T18:01:25Z,-120.67892686102252,55.10221010464624,1024
car178,2015-01-06T17:02:43Z,-120.64100717903614,55.090982353846385,1051
car178,2015-01-07T16:00:54Z,-120.64465393416258,55.09000125592853,1048
car178,2015-01-08T15:01:00Z,-120.64274440238042,55.09235534871711,1048
car178,2015-01-09T14:00:48Z,-120.64588171502416,55.08217768600637,1048
car178,2015-01-10T13:00:59Z,-120.64869508717928,55.0817646349688,1048
car178,2015-01-11T12:00:29Z,-120.65210761662809,55.08182151065476,1048
car178,2015-01-12T11:00:29Z,-120.65697181637934,55.07849046079484,1059
car178,2015-01-13T10:00:54Z,-120.67488917654369,55.07617330528354,1050
car178,2015-01-14T09:01:02Z,-120.6975112146349,55.07482351545376,1042
car178,2015-01-15T08:01:13Z,-120.71772152942812,55.08635916269661,1018
car178,2015-01-16T07:00:29Z,-120.71228779823102,55.07558751168307,1042
car178,2015-01-17T06:01:54Z,-120.68653375992496,55.06714565637664,1038
car178,2015-01-18T05:00:29Z,-120.6788347981806,55.07242834479908,1038
car178,2015-01-19T04:01:30Z,-120.6728233409962,55.07154950827732,1050
car178,2015-01-23T23:02:00Z,-120.66593677886134,55.09538196766131,1043
car178,2015-01-24T22:01:48Z,-120.65364702727976,55.105563859282626,1010
car178,2015-01-26T20:01:30Z,-120.67592521424032,55.09342470184309,1043
car178,2015-01-28T18:02:02Z,-120.6768350735556,55.09557241830336,1043
car178,2015-01-29T17:01:51Z,-120.68205123540427,55.092381923527846,1033
car178,2015-01-30T16:00:54Z,-120.6602165169332,55.094562057121635,1043
car178,2015-01-31T15:01:30Z,-120.67898386846252,55.09635947063065,1024
car178,2015-02-01T14:01:48Z,-120.7650260804363,55.06959199647474,1040
car178,2015-02-03T12:00:48Z,-120.75813832166884,55.07595516177984,1040
car178,2015-02-04T11:01:01Z,-120.78106940915464,55.08480663170544,989
car178,2015-02-05T10:00:53Z,-120.84743471348472,55.11213651346453,1103
car178,2015-02-06T09:01:53Z,-120.83146579066604,55.11428012332187,1117
car178,2015-02-07T08:02:54Z,-120.84403601196227,55.11846718499902,1127
car178,2015-02-09T06:01:30Z,-120.83783713413676,55.10867673064531,1079
car178,2015-02-10T05:00:59Z,-120.81902856635536,55.11748266722684,1104
car178,2015-02-11T04:00:29Z,-120.8184283179764,55.12015048966996,1104
car178,2015-02-13T02:01:30Z,-120.80671703158625,55.11949973618061,1104
car178,2015-02-14T01:01:00Z,-120.81800141049824,55.115037375533326,1104
car178,2015-02-15T00:01:24Z,-120.81720294871572,55.11415118358181,1047
car178,2015-02-15T23:01:01Z,-120.82891250160064,55.117119938238766,1117
car178,2015-02-16T22:01:36Z,-120.84521526364584,55.113751141848,1103
car178,2015-02-17T21:00:29Z,-120.84763292825616,55.10874238346558,1103
car178,2015-02-19T19:00:29Z,-120.83642778732344,55.106323687047755,1079
car178,2015-02-20T18:02:42Z,-120.83948709743451,55.1057038636354,1103
car178,2015-02-21T17:00:48Z,-120.83669551389944,55.106301477634105,1079
car178,2015-02-22T16:01:24Z,-120.82574261247328,55.10792210055956,1079
car178,2015-02-24T14:00:47Z,-120.819703959966,55.11026800485343,1047
car178,2015-02-25T13:01:25Z,-120.81751181022732,55.11653867174711,1104
car178,2015-02-26T12:00:54Z,-120.82687144292868,55.11283198673791,1079
car178,2015-02-27T11:01:30Z,-120.81548777015834,55.11081266063185,1047
car178,2015-02-28T10:00:29Z,-120.83383204206156,55.1122818470913,1079
car178,2015-03-01T09:00:29Z,-120.85036024553338,55.119558699800166,1127
car178,2015-03-02T08:02:16Z,-120.84457871442105,55.11654427419513,1127
car178,2015-03-03T07:00:29Z,-120.83068871900991,55.110679882263675,1079
car178,2015-03-04T06:01:00Z,-120.85188199039884,55.12247083044998,1127
car178,2015-03-05T05:00:48Z,-120.73557058925088,55.0730475758909,1046
car178,2015-03-06T04:00:29Z,-120.75232340899504,55.07516479328499,1040
car178,2015-03-09T01:02:23Z,-120.76251403254882,55.08568948952612,998
car178,2015-03-12T21:00:48Z,-120.76949638911825,55.08777713387283,989
car178,2015-03-14T19:01:22Z,-120.77652616089976,55.08394173270826,989
car178,2015-03-15T18:01:30Z,-120.77599453445836,55.08335675007529,989
car178,2015-03-16T17:01:00Z,-120.74826558486636,55.076285297613424,1046
car178,2015-03-17T16:01:30Z,-120.73898291726442,55.08392442919328,1009
car178,2015-03-18T15:00:53Z,-120.75115657992887,55.09958345631416,1008
car178,2015-03-19T14:01:24Z,-120.74901886913942,55.10108101999938,1011
car178,2015-03-20T13:00:29Z,-120.74853746712658,55.10183615673922,1011
